transaction_id,customer_id,amount,payment_method,customer_segment,transaction_hour,days_since_last_payment,previous_failures,retry_count,checkout_duration,device_type,location_type,payment_gateway,failure_reason,subscription_status,invoice_age_days,amount_due,payment_status,revenue_at_risk
txn_d1cd2408093749,cust_8564,9127.36,upi,high_value,10,54,0,0,355,desktop,domestic,razorpay,None,inactive,16,9127.36,success,0
txn_12a34d89649f45,cust_9837,2651.68,upi,loyal,20,17,1,0,51,mobile,international,razorpay,None,active,53,2736.35,success,0
txn_12a3d8d1327a45,cust_2874,28220.28,debit_card,high_value,22,65,1,3,181,tablet,domestic,razorpay,insufficient_funds,none,45,28631.74,overdue,1
txn_19e225aa067849,cust_6111,28811.05,net_banking,high_value,22,50,0,0,258,mobile,domestic,razorpay,None,inactive,54,28811.05,pending,0
txn_e951af811af848,cust_1672,17392.83,net_banking,returning,2,129,1,3,22,desktop,domestic,razorpay,authentication_failed,active,27,17392.83,failed,1
txn_3ff7fe86507a47,cust_3885,36703.08,upi,churn_risk,17,123,0,0,284,desktop,domestic,razorpay,None,active,17,36703.08,success,0
txn_ad9a18ecf86844,cust_8613,28513.99,net_banking,returning,0,126,2,1,196,desktop,domestic,razorpay,expired_card,inactive,21,28816.11,abandoned,1
txn_595d733cc18641,cust_4130,4326.37,net_banking,high_value,17,61,1,0,512,desktop,domestic,razorpay,None,active,18,4675.35,success,0
txn_405827f37daf48,cust_7046,23689.36,wallet,returning,13,140,0,0,474,desktop,domestic,razorpay,None,active,7,23689.36,success,0
txn_6c69d4d881e44e,cust_9779,47546.33,debit_card,loyal,6,123,0,0,547,tablet,domestic,razorpay,None,active,53,47667.8,success,0
txn_0ee3bf234c7248,cust_1231,35415.52,debit_card,returning,1,13,0,0,139,tablet,domestic,razorpay,None,inactive,6,35415.52,success,0
txn_b5e3a22df1de41,cust_8690,23961.77,upi,loyal,1,64,3,0,499,mobile,domestic,razorpay,None,inactive,31,24280.2,success,0
txn_bf9d9bb2c20249,cust_3444,40566.55,upi,new,7,30,0,0,436,tablet,domestic,razorpay,None,none,14,40566.55,success,0
txn_fd0ac68fcc2648,cust_8253,14902.79,wallet,high_value,9,145,1,0,111,mobile,domestic,razorpay,None,inactive,42,15030.32,success,0
txn_1500a8dbfe5d44,cust_3564,183.65,net_banking,churn_risk,15,74,0,3,305,tablet,domestic,razorpay,expired_card,inactive,4,183.65,overdue,0
txn_eb6ba0590d2a47,cust_4241,21285.69,wallet,loyal,20,38,3,2,155,mobile,domestic,razorpay,network_error,inactive,38,21285.69,failed,1
txn_c27c2510a30347,cust_5982,35001.7,upi,churn_risk,17,126,0,3,50,desktop,domestic,razorpay,expired_card,none,16,35123.87,failed,0
txn_608ad1c38a6d40,cust_5415,28833.54,debit_card,high_value,16,166,0,2,294,mobile,international,razorpay,authentication_failed,inactive,40,28833.54,overdue,1
txn_413389979fb743,cust_6260,33523.17,debit_card,returning,13,177,0,1,420,tablet,domestic,razorpay,expired_card,active,20,33589.97,failed,0
txn_cdab3bf9cc134e,cust_9889,23125.72,credit_card,loyal,16,92,1,0,520,tablet,domestic,razorpay,None,active,13,23199.92,success,0
txn_3f77f26ec0c54e,cust_8941,6115.23,wallet,loyal,22,40,0,0,24,tablet,domestic,razorpay,None,active,53,6115.23,success,0
txn_68ad411dd48742,cust_2924,32403.1,debit_card,high_value,22,74,0,0,289,desktop,domestic,razorpay,None,inactive,15,32403.1,success,0
txn_ce2fcaf421cd4e,cust_4122,46097.31,wallet,loyal,2,70,1,0,434,desktop,international,razorpay,None,none,17,46097.31,success,0
txn_4bc035246ee841,cust_5891,41881.92,wallet,high_value,4,114,0,0,363,desktop,domestic,razorpay,None,none,24,41881.92,success,0
txn_87f8de65b5404e,cust_4090,49039.69,debit_card,churn_risk,12,59,2,2,430,mobile,domestic,razorpay,bank_declined,inactive,45,49039.69,failed,1
txn_f04478eb0c8e48,cust_3068,25139.44,wallet,returning,3,112,0,0,477,mobile,domestic,razorpay,None,inactive,55,25139.44,success,0
txn_d2a1ac284c4f4b,cust_8692,39087.19,upi,returning,19,177,0,3,92,desktop,domestic,razorpay,authentication_failed,none,24,39087.19,failed,1
txn_1d7153de849f46,cust_2121,11776.77,upi,loyal,23,23,0,0,110,tablet,domestic,razorpay,None,active,28,11933.51,success,0
txn_0bcad1e2cc344d,cust_6314,39817.37,upi,returning,11,110,0,0,553,desktop,domestic,razorpay,None,active,10,40126.02,success,0
txn_4dd6b82d0cca42,cust_4945,24908.48,wallet,loyal,7,118,1,0,480,desktop,domestic,razorpay,None,inactive,57,25186.31,success,0
txn_bfdf78d51cec49,cust_6661,49383.2,upi,high_value,22,64,0,0,319,mobile,international,razorpay,None,inactive,6,49673.44,success,0
txn_7f131347f7cd47,cust_5837,1145.88,net_banking,returning,0,144,2,1,60,tablet,domestic,razorpay,network_error,inactive,49,1145.88,failed,1
txn_388d99bfd7614c,cust_5106,33904.33,debit_card,new,20,165,0,1,461,mobile,domestic,razorpay,bank_declined,none,8,34058.93,failed,1
txn_74f0bfba272e49,cust_9837,43829.21,upi,churn_risk,16,69,2,1,273,desktop,international,razorpay,authentication_failed,inactive,47,43829.21,abandoned,1
txn_d214841a6a1f4c,cust_4696,43014.02,net_banking,churn_risk,11,23,1,2,24,desktop,domestic,razorpay,expired_card,inactive,23,43014.02,failed,1
txn_74f01d34763143,cust_7086,5461.89,debit_card,high_value,0,158,2,3,584,desktop,international,razorpay,network_error,active,41,5875.58,abandoned,1
txn_9b393d154c2846,cust_3290,2315.07,credit_card,returning,15,29,0,2,560,mobile,domestic,razorpay,expired_card,inactive,42,2315.07,failed,1
txn_80643fa7306b43,cust_3531,44276.42,credit_card,high_value,19,104,3,0,296,mobile,domestic,razorpay,None,active,28,44276.42,success,0
txn_962093beecbd45,cust_6942,5012.76,upi,churn_risk,20,91,0,1,292,mobile,international,razorpay,expired_card,inactive,5,5012.76,failed,1
txn_92fdd8c202ef4c,cust_6464,12216.27,debit_card,churn_risk,6,17,2,1,577,mobile,domestic,razorpay,expired_card,active,21,12216.27,abandoned,1
txn_8a7d3a691d1046,cust_3370,49376.99,wallet,returning,5,28,1,0,36,mobile,domestic,razorpay,None,active,37,49376.99,success,0
txn_0995a3298dbb46,cust_1858,6381.59,net_banking,churn_risk,3,16,0,0,380,tablet,domestic,razorpay,None,inactive,32,6692.99,pending,0
txn_988ea8bc86254e,cust_9543,15116.43,credit_card,new,15,102,0,0,120,desktop,domestic,razorpay,None,inactive,4,15116.43,success,0
txn_ac4e5712318947,cust_3430,3330.83,upi,churn_risk,20,149,0,3,342,desktop,international,razorpay,insufficient_funds,none,18,3330.83,failed,1
txn_5bbfb76c58af46,cust_4522,21531.99,debit_card,high_value,10,116,0,0,107,desktop,domestic,razorpay,None,none,16,21531.99,success,0
txn_ee88083334de40,cust_8770,3403.31,credit_card,new,13,24,1,2,391,mobile,domestic,razorpay,authentication_failed,none,35,3403.31,failed,1
txn_8d78b36766234f,cust_7929,43411.2,credit_card,returning,19,79,0,0,529,mobile,domestic,razorpay,None,inactive,14,43411.2,success,0
txn_9cb957966fd64f,cust_7022,5788.52,upi,churn_risk,7,109,2,0,580,mobile,domestic,razorpay,None,none,53,5788.52,success,0
txn_ccd6d3e0087b4e,cust_5477,35149.8,upi,returning,11,1,0,3,156,tablet,domestic,razorpay,insufficient_funds,active,9,35149.8,overdue,1
txn_dc3d64d370dd47,cust_7163,21020.63,upi,loyal,11,79,1,2,591,tablet,domestic,razorpay,network_error,active,9,21333.37,failed,1
txn_6197df829ed745,cust_8957,30373.45,net_banking,returning,6,131,0,1,450,mobile,domestic,razorpay,insufficient_funds,none,37,30373.45,failed,1
txn_86d6452e887e41,cust_1897,433.97,upi,loyal,4,65,0,0,132,mobile,domestic,razorpay,None,inactive,11,704.94,success,0
txn_fbb4c8b6b10247,cust_6802,3650.17,credit_card,high_value,0,117,3,0,330,tablet,domestic,razorpay,None,inactive,45,3650.17,success,0
txn_9a9ace0a969c4c,cust_7636,1091.79,upi,loyal,19,117,2,0,380,mobile,domestic,razorpay,None,active,15,1091.79,success,0
txn_4131bc79f0bd42,cust_2288,19818.55,upi,returning,7,85,1,0,88,tablet,domestic,razorpay,None,none,32,20208.9,success,0
txn_a8835b4f789a47,cust_3419,11851.63,debit_card,returning,6,44,1,0,87,mobile,international,razorpay,None,none,31,11851.63,success,0
txn_730b1ddef07041,cust_8354,34072.62,wallet,churn_risk,10,160,0,3,460,mobile,domestic,razorpay,network_error,none,19,34072.62,failed,1
txn_1f6260999cbc42,cust_8565,22623.1,credit_card,returning,9,19,1,2,102,tablet,domestic,razorpay,insufficient_funds,inactive,29,22623.1,overdue,1
txn_2e019e6e114b4c,cust_4084,16110.26,net_banking,churn_risk,4,15,0,3,361,tablet,domestic,razorpay,expired_card,none,11,16466.99,overdue,1
txn_e5659f49d16d45,cust_6962,18673.96,upi,high_value,13,86,1,0,63,tablet,domestic,razorpay,None,active,21,19016.37,success,0
txn_8d1bdeb9af754c,cust_3463,16701.43,wallet,loyal,11,79,4,1,411,mobile,domestic,razorpay,network_error,active,19,16701.43,failed,1
txn_4269dc6cffb34f,cust_9624,4717.98,net_banking,churn_risk,11,4,0,0,194,mobile,domestic,razorpay,None,inactive,12,4795.39,success,0
txn_5017b54c25984b,cust_2657,25409.1,wallet,churn_risk,1,169,0,3,144,tablet,domestic,razorpay,bank_declined,active,11,25409.1,abandoned,1
txn_5701c029fde547,cust_7731,18246.76,debit_card,high_value,19,72,1,2,469,mobile,domestic,razorpay,bank_declined,inactive,51,18246.76,abandoned,1
txn_5a1faaf4c95240,cust_8218,23110.91,upi,high_value,16,135,0,1,175,mobile,domestic,razorpay,expired_card,active,55,23435.09,abandoned,0
txn_a5889901ed464f,cust_9452,42565.74,upi,new,5,69,0,0,535,mobile,domestic,razorpay,None,active,60,42565.74,pending,0
txn_4cf1c67f02d049,cust_6727,46527.07,net_banking,new,12,128,0,0,405,mobile,domestic,razorpay,None,active,20,46527.07,pending,0
txn_31fd69253bda4c,cust_6493,39579.46,debit_card,new,9,120,1,0,152,tablet,domestic,razorpay,None,none,0,39579.46,success,0
txn_f9c841fdc37b40,cust_4533,41756.41,wallet,churn_risk,16,108,0,1,305,mobile,domestic,razorpay,authentication_failed,active,15,41756.41,abandoned,1
txn_551895e41afd4c,cust_9189,29857.12,credit_card,churn_risk,18,61,1,0,308,desktop,domestic,razorpay,None,inactive,15,29857.12,success,0
txn_af7783bc13dd4a,cust_2402,26198.05,upi,new,16,139,0,3,529,tablet,domestic,razorpay,network_error,inactive,2,26198.05,overdue,1
txn_e477955215a944,cust_2106,17272.88,credit_card,churn_risk,23,85,0,3,370,tablet,domestic,razorpay,authentication_failed,none,11,17272.88,failed,1
txn_8bd69335519e40,cust_3209,3201.87,net_banking,new,9,51,0,0,214,mobile,domestic,razorpay,None,inactive,32,3201.87,pending,0
txn_12025da0ffa647,cust_8756,12703.02,debit_card,returning,11,12,2,2,349,desktop,domestic,razorpay,authentication_failed,inactive,27,12703.02,failed,1
txn_4b6522f5b38940,cust_9129,34618.82,upi,churn_risk,8,21,1,2,90,desktop,domestic,razorpay,network_error,active,34,34679.09,failed,1
txn_ba667a0e16b142,cust_7981,8373.91,net_banking,returning,14,10,1,3,371,tablet,international,razorpay,insufficient_funds,inactive,40,8373.91,abandoned,1
txn_45f74bdb635449,cust_6952,25678.65,debit_card,new,4,155,1,0,458,mobile,domestic,razorpay,None,active,49,25678.65,success,0
txn_dfb93a812fe24c,cust_1530,30274.49,net_banking,returning,11,113,1,0,597,mobile,domestic,razorpay,None,inactive,20,30274.49,success,0
txn_af5d8123dabe46,cust_2858,1344.37,debit_card,high_value,16,99,3,1,130,desktop,domestic,razorpay,authentication_failed,none,28,1654.19,failed,1
txn_8c34a264a1714f,cust_2213,22629.53,net_banking,new,21,81,1,2,76,tablet,domestic,razorpay,bank_declined,inactive,54,22987.22,failed,1
txn_67ce504fb6b747,cust_2988,49257.37,debit_card,loyal,15,6,0,0,596,desktop,domestic,razorpay,None,none,8,49257.37,success,0
txn_53fcf082194a46,cust_6067,19938.09,net_banking,churn_risk,13,104,2,1,85,mobile,international,razorpay,network_error,none,4,19938.09,failed,0
txn_4bb8538cc15347,cust_3981,38400.69,debit_card,high_value,16,14,2,0,540,mobile,domestic,razorpay,None,active,20,38400.69,success,0
txn_2a483ae0a5a240,cust_9501,44751.55,credit_card,returning,6,162,4,1,291,mobile,domestic,razorpay,expired_card,none,34,45075.63,failed,1
txn_461e76c834dc49,cust_6531,42134.37,wallet,new,0,20,0,0,600,desktop,domestic,razorpay,None,none,26,42134.37,success,0
txn_52c47f11494344,cust_9938,14519.1,upi,high_value,7,175,0,0,474,mobile,domestic,razorpay,None,active,28,14519.1,success,0
txn_d86488fbbcb343,cust_6573,30352.68,upi,returning,23,88,4,1,143,desktop,domestic,razorpay,bank_declined,active,20,30422.72,failed,1
txn_b0fef1f10c8348,cust_7293,43214.98,net_banking,loyal,5,83,3,1,330,mobile,domestic,razorpay,authentication_failed,inactive,32,43214.98,abandoned,1
txn_359e5af3894549,cust_7442,25296.95,debit_card,loyal,18,90,0,0,298,desktop,domestic,razorpay,None,none,43,25296.95,success,0
txn_22903b87031640,cust_2761,21574.84,upi,returning,12,93,0,0,62,tablet,domestic,razorpay,None,inactive,35,21774.15,success,0
txn_423d5a1bc2ca49,cust_5582,41274.3,wallet,churn_risk,3,32,4,3,413,desktop,domestic,razorpay,bank_declined,inactive,35,41274.3,abandoned,1
txn_e4e1338ebcf541,cust_9193,2060.73,credit_card,loyal,22,85,2,2,541,desktop,domestic,razorpay,bank_declined,none,8,2060.73,failed,0
txn_eb314b3a59d74f,cust_5902,29706.55,wallet,churn_risk,17,125,1,2,316,desktop,domestic,razorpay,expired_card,inactive,21,29706.55,overdue,1
txn_f6bac1739a5646,cust_1436,29865.64,upi,churn_risk,18,58,1,1,501,mobile,domestic,razorpay,bank_declined,none,39,29865.64,failed,1
txn_5a679268f0a94e,cust_2800,9579.68,net_banking,returning,13,38,0,0,218,desktop,domestic,razorpay,None,none,58,9579.68,pending,0
txn_c34eceedb9814f,cust_2020,35303.47,wallet,loyal,17,83,5,3,499,tablet,domestic,razorpay,network_error,active,29,35303.47,failed,1
txn_5daa46ee78ad42,cust_5331,30523.33,debit_card,loyal,8,142,0,0,314,desktop,domestic,razorpay,None,none,45,30523.33,success,0
txn_4c513414aa5f45,cust_5480,14425.08,wallet,churn_risk,12,101,2,3,159,desktop,domestic,razorpay,network_error,none,5,14425.08,failed,1
txn_8181c4eecbb64f,cust_4310,41406.19,upi,churn_risk,22,69,0,0,255,mobile,domestic,razorpay,None,none,14,41406.19,success,0
txn_23e524a0f97b44,cust_7771,16548.17,net_banking,new,21,35,0,2,573,mobile,domestic,razorpay,network_error,inactive,30,16548.17,failed,1
txn_e8e83f0a22b348,cust_1969,45401.45,credit_card,churn_risk,7,136,1,2,48,mobile,domestic,razorpay,authentication_failed,active,59,45401.45,overdue,1
txn_8ae844fd8af245,cust_5742,43843.32,credit_card,returning,18,154,0,3,353,desktop,domestic,razorpay,bank_declined,none,34,43843.32,abandoned,1
txn_204f51db675f43,cust_4159,40450.25,upi,loyal,23,117,1,0,200,mobile,domestic,razorpay,None,inactive,36,40450.25,success,0
txn_f88e15ac4bd844,cust_7643,41358.14,wallet,returning,2,102,1,2,199,mobile,domestic,razorpay,network_error,active,0,41483.55,failed,1
txn_18ec2166f3b442,cust_1187,13114.58,upi,loyal,1,170,0,3,324,mobile,domestic,razorpay,network_error,none,59,13114.58,failed,1
txn_ce15c9c7d06a4b,cust_5833,18408.82,debit_card,loyal,4,122,0,1,392,desktop,domestic,razorpay,bank_declined,inactive,48,18408.82,failed,0
txn_854654658bc041,cust_2341,26299.06,wallet,returning,2,144,0,0,570,tablet,domestic,razorpay,None,none,9,26727.76,success,0
txn_bd4c90728b8a44,cust_4365,35860.05,net_banking,new,16,114,2,0,474,mobile,domestic,razorpay,None,inactive,36,36096.62,pending,0
txn_f21cf23a71b14a,cust_1356,19827.64,credit_card,loyal,18,18,0,1,362,tablet,domestic,razorpay,authentication_failed,active,59,19827.64,overdue,1
txn_832f5d1888cc46,cust_3948,38460.15,net_banking,returning,12,114,2,1,396,desktop,domestic,razorpay,network_error,none,55,38460.15,failed,1
txn_8b19b6542e8a47,cust_9802,19683.28,debit_card,loyal,0,5,4,0,484,tablet,domestic,razorpay,None,inactive,34,19683.28,success,0
txn_bd84c991772e42,cust_8546,17340.68,upi,loyal,23,28,0,0,439,tablet,domestic,razorpay,None,active,15,17400.12,success,0
txn_1b195fc5e3d74a,cust_1797,12274.47,credit_card,high_value,14,59,0,3,67,mobile,domestic,razorpay,network_error,inactive,14,12274.47,failed,1
txn_1c6eca80c4884d,cust_6253,11883.36,debit_card,churn_risk,7,105,0,2,72,tablet,international,razorpay,insufficient_funds,none,58,12225.95,failed,0
txn_2d064bc93d434c,cust_7244,39300.94,upi,high_value,13,38,0,0,198,tablet,domestic,razorpay,None,active,19,39300.94,success,0
txn_659e48430f4d42,cust_8586,45741.32,wallet,high_value,13,142,0,0,407,mobile,domestic,razorpay,None,inactive,41,45971.72,success,0
txn_39dc7959338e44,cust_9775,36243.01,debit_card,new,8,96,1,0,50,mobile,domestic,razorpay,None,none,46,36243.01,success,0
txn_5698f8d72a054f,cust_4422,43480.22,upi,returning,0,54,3,0,130,tablet,international,razorpay,None,inactive,58,43786.38,success,0
txn_bd84a0504e3e48,cust_4921,27626.36,upi,high_value,14,136,1,0,325,desktop,domestic,razorpay,None,inactive,29,28117.21,success,0
txn_9c99e6c22c6c4b,cust_6246,45720.81,upi,returning,13,11,0,0,236,tablet,domestic,razorpay,None,inactive,35,45720.81,success,0
txn_e317e37a4ec648,cust_7841,14794.85,debit_card,returning,7,97,0,2,261,desktop,domestic,razorpay,authentication_failed,none,21,15207.43,overdue,1
txn_7e968b33e3994c,cust_6770,8504.82,wallet,high_value,5,138,5,0,70,tablet,domestic,razorpay,None,active,60,8504.82,success,0
txn_4ee572de216745,cust_1104,20648.99,debit_card,new,22,38,0,3,527,desktop,domestic,razorpay,authentication_failed,none,40,20648.99,failed,1
txn_fa126c464b674b,cust_1108,26634.01,net_banking,new,0,135,1,1,558,desktop,domestic,razorpay,bank_declined,none,43,26634.01,abandoned,0
txn_0d6b25a05d6e4d,cust_9591,7487.43,debit_card,churn_risk,16,64,2,2,283,desktop,domestic,razorpay,bank_declined,inactive,29,7487.43,overdue,1
txn_fb684386a7d14b,cust_2320,32704.1,credit_card,new,12,97,0,3,497,mobile,domestic,razorpay,network_error,none,10,33128.31,failed,0
txn_a6f339c8c3424c,cust_2562,44744.82,credit_card,loyal,6,177,2,3,496,desktop,domestic,razorpay,expired_card,active,43,44744.82,abandoned,1
txn_d93ca5fe54474a,cust_6152,832.12,debit_card,churn_risk,4,101,3,2,316,mobile,domestic,razorpay,expired_card,none,53,832.12,failed,1
txn_a3d00bf83da245,cust_3292,39535.38,credit_card,churn_risk,23,88,0,2,457,mobile,domestic,razorpay,authentication_failed,inactive,38,39535.38,overdue,1
txn_afe8fbf80e004c,cust_5478,39188.23,net_banking,high_value,7,91,0,1,394,desktop,domestic,razorpay,network_error,none,42,39188.23,failed,0
txn_a1bf52e22f5e4a,cust_2344,13435.2,net_banking,loyal,23,99,0,0,119,mobile,domestic,razorpay,None,inactive,28,13435.2,success,0
txn_c25071b219b342,cust_3170,4410.5,net_banking,high_value,17,142,0,1,115,mobile,domestic,razorpay,authentication_failed,none,5,4410.5,failed,1
txn_141f91c4324147,cust_7353,38969.5,wallet,loyal,18,133,0,0,399,mobile,domestic,razorpay,None,inactive,17,38969.5,success,0
txn_c545ae57921a4d,cust_8121,13834.3,upi,high_value,2,92,0,0,262,tablet,domestic,razorpay,None,none,39,13896.72,success,0
txn_a34eeb2b0f0d46,cust_7483,16644.25,wallet,high_value,10,112,0,0,149,desktop,domestic,razorpay,None,none,12,16644.25,success,0
txn_16affddd27724c,cust_7524,48437.82,upi,high_value,18,62,0,0,297,desktop,domestic,razorpay,None,none,12,48437.82,success,0
txn_1aa94bce9e9148,cust_1440,47652.58,net_banking,loyal,14,74,2,0,80,desktop,domestic,razorpay,None,active,40,47652.58,success,0
txn_e5eef9adc15947,cust_3525,35776.06,net_banking,new,14,153,0,3,420,tablet,domestic,razorpay,network_error,none,26,35776.06,failed,0
txn_b61663aefdbc4f,cust_9796,29711.31,credit_card,new,7,168,1,0,180,tablet,domestic,razorpay,None,none,41,29711.31,success,0
txn_d97f03b3e25440,cust_6432,48287.55,net_banking,new,0,25,0,0,532,tablet,domestic,razorpay,None,none,44,48287.55,success,0
txn_69c4db9e60d84e,cust_7408,23180.01,wallet,churn_risk,4,88,5,0,504,mobile,domestic,razorpay,None,active,7,23180.01,pending,0
txn_cd4523a6971946,cust_6707,15628.92,net_banking,loyal,16,123,0,2,109,desktop,domestic,razorpay,insufficient_funds,inactive,20,15660.81,failed,1
txn_a9a85800c43f4d,cust_3692,46499.63,debit_card,churn_risk,5,141,0,0,583,desktop,international,razorpay,None,active,51,46499.63,success,0
txn_93920b9bfc5e48,cust_8080,19809.34,wallet,loyal,14,151,0,1,14,tablet,domestic,razorpay,expired_card,inactive,48,19809.34,failed,0
txn_daf0c3ef6e214f,cust_9796,9388.64,upi,loyal,14,29,0,0,511,tablet,international,razorpay,None,inactive,38,9388.64,success,0
txn_265c2e6dcc0b4f,cust_2871,17428.84,net_banking,churn_risk,5,172,1,0,314,tablet,domestic,razorpay,None,none,8,17428.84,success,0
txn_0830912ecfbf40,cust_2916,9193.07,debit_card,churn_risk,12,107,0,3,598,desktop,domestic,razorpay,bank_declined,inactive,40,9193.07,overdue,1
txn_9568bd1826ad4e,cust_5732,7057.81,upi,high_value,19,13,2,0,19,desktop,domestic,razorpay,None,inactive,35,7057.81,success,0
txn_b4a2b26c16d449,cust_9056,20810.74,net_banking,high_value,5,21,0,0,235,desktop,domestic,razorpay,None,active,34,21203.3,success,0
